117,Global Price Index of All Commodities,monthly,index 2016=100,2014-04-01,170.105532955183
118,Global Price Index of All Commodities,monthly,index 2016=100,2014-03-01,168.62977360677
119,Global Price Index of All Commodities,monthly,index 2016=100,2014-02-01,169.350272659741
120,Global Price Index of All Commodities,monthly,index 2016=100,2014-01-01,165.526537724477
121,Global Price Index of All Commodities,monthly,index 2016=100,2013-12-01,167.17527927191
122,Global Price Index of All Commodities,monthly,index 2016=100,2013-11-01,163.565587954207
123,Global Price Index of All Commodities,monthly,index 2016=100,2013-10-01,165.397114175621
124,Global Price Index of All Commodities,monthly,index 2016=100,2013-09-01,167.962245671055
125,Global Price Index of All Commodities,monthly,index 2016=100,2013-08-01,168.5851083046
126,Global Price Index of All Commodities,monthly,index 2016=100,2013-07-01,165.994366693682
127,Global Price Index of All Commodities,monthly,index 2016=100,2013-06-01,164.0598227828
128,Global Price Index of All Commodities,monthly,index 2016=100,2013-05-01,166.74340866391
129,Global Price Index of All Commodities,monthly,index 2016=100,2013-04-01,167.819250104005
130,Global Price Index of All Commodities,monthly,index 2016=100,2013-03-01,171.203032018493
131,Global Price Index of All Commodities,monthly,index 2016=100,2013-02-01,175.50395775166
132,Global Price Index of All Commodities,monthly,index 2016=100,2013-01-01,174.027821529619
133,Global Price Index of All Commodities,monthly,index 2016=100,2012-12-01,169.963509713296
134,Global Price Index of All Commodities,monthly,index 2016=100,2012-11-01,169.079559418959
135,Global Price Index of All Commodities,monthly,index 2016=100,2012-10-01,171.236194405048
136,Global Price Index of All Commodities,monthly,index 2016=100,2012-09-01,173.022479627727
137,Global Price Index of All Commodities,monthly,index 2016=100,2012-08-01,171.376777462595
138,Global Price Index of All Commodities,monthly,index 2016=100,2012-07-01,166.486246140197
139,Global Price Index of All Commodities,monthly,index 2016=100,2012-06-01,160.920296994703
140,Global Price Index of All Commodities,monthly,index 2016=100,2012-05-01,171.938519978354
141,Global Price Index of All Commodities,monthly,index 2016=100,2012-04-01,182.596822240735
142,Global Price Index of All Commodities,monthly,index 2016=100,2012-03-01,185.631243934266
143,Global Price Index of All Commodities,monthly,index 2016=100,2012-02-01,181.918468947264
144,Global Price Index of All Commodities,monthly,index 2016=100,2012-01-01,176.456379874451
145,Global Price Index of All Commodities,monthly,index 2016=100,2011-12-01,173.390492144848
146,Global Price Index of All Commodities,monthly,index 2016=100,2011-11-01,176.807901196487
147,Global Price Index of All Commodities,monthly,index 2016=100,2011-10-01,174.898446897193
148,Global Price Index of All Commodities,monthly,index 2016=100,2011-09-01,180.653747319119
149,Global Price Index of All Commodities,monthly,index 2016=100,2011-08-01,183.210643311126
150,Global Price Index of All Commodities,monthly,index 2016=100,2011-07-01,187.88328347747
151,Global Price Index of All Commodities,monthly,index 2016=100,2011-06-01,184.913285745087
152,Global Price Index of All Commodities,monthly,index 2016=100,2011-05-01,186.867635951463
153,Global Price Index of All Commodities,monthly,index 2016=100,2011-04-01,194.306033357694
154,Global Price Index of All Commodities,monthly,index 2016=100,2011-03-01,184.783151963602
155,Global Price Index of All Commodities,monthly,index 2016=100,2011-02-01,178.70444958861
156,Global Price Index of All Commodities,monthly,index 2016=100,2011-01-01,172.458767894064
157,Global Price Index of All Commodities,monthly,index 2016=100,2010-12-01,166.162039399656
158,Global Price Index of All Commodities,monthly,index 2016=100,2010-11-01,157.064601960867
159,Global Price Index of All Commodities,monthly,index 2016=100,2010-10-01,152.207460939239
160,Global Price Index of All Commodities,monthly,index 2016=100,2010-09-01,144.433606285338
161,Global Price Index of All Commodities,monthly,index 2016=100,2010-08-01,141.643776111645
162,Global Price Index of All Commodities,monthly,index 2016=100,2010-07-01,137.843341038294
163,Global Price Index of All Commodities,monthly,index 2016=100,2010-06-01,137.719023925784
164,Global Price Index of All Commodities,monthly,index 2016=100,2010-05-01,140.402469952676
165,Global Price Index of All Commodities,monthly,index 2016=100,2010-04-01,149.313117882383
166,Global Price Index of All Commodities,monthly,index 2016=100,2010-03-01,141.524805511806
167,Global Price Index of All Commodities,monthly,index 2016=100,2010-02-01,136.552742218458
168,Global Price Index of All Commodities,monthly,index 2016=100,2010-01-01,139.839679297432
169,Global Price Index of All Commodities,monthly,index 2016=100,2009-12-01,134.045837287127
170,Global Price Index of All Commodities,monthly,index 2016=100,2009-11-01,131.509059740893
171,Global Price Index of All Commodities,monthly,index 2016=100,2009-10-01,126.645989122524
172,Global Price Index of All Commodities,monthly,index 2016=100,2009-09-01,119.135919568377
173,Global Price Index of All Commodities,monthly,index 2016=100,2009-08-01,122.795871392493
174,Global Price Index of All Commodities,monthly,index 2016=100,2009-07-01,116.328952708189
175,Global Price Index of All Commodities,monthly,index 2016=100,2009-06-01,120.502487414329
176,Global Price Index of All Commodities,monthly,index 2016=100,2009-05-01,111.797397368604
177,Global Price Index of All Commodities,monthly,index 2016=100,2009-04-01,102.904605315295
178,Global Price Index of All Commodities,monthly,index 2016=100,2009-03-01,100.944839840212
179,Global Price Index of All Commodities,monthly,index 2016=100,2009-02-01,100.92348256431
180,Global Price Index of All Commodities,monthly,index 2016=100,2009-01-01,104.427579022121
181,Global Price Index of All Commodities,monthly,index 2016=100,2008-12-01,101.904734420369
182,Global Price Index of All Commodities,monthly,index 2016=100,2008-11-01,114.359339707555
183,Global Price Index of All Commodities,monthly,index 2016=100,2008-10-01,134.788242367655
184,Global Price Index of All Commodities,monthly,index 2016=100,2008-09-01,164.858399692681
185,Global Price Index of All Commodities,monthly,index 2016=100,2008-08-01,179.781378472755
186,Global Price Index of All Commodities,monthly,index 2016=100,2008-07-01,200.808359967538
187,Global Price Index of All Commodities,monthly,index 2016=100,2008-06-01,199.223140422477
188,Global Price Index of All Commodities,monthly,index 2016=100,2008-05-01,190.237107906841
189,Global Price Index of All Commodities,monthly,index 2016=100,2008-04-01,177.796062262196
190,Global Price Index of All Commodities,monthly,index 2016=100,2008-03-01,171.181055223119
191,Global Price Index of All Commodities,monthly,index 2016=100,2008-02-01,161.414167479217
192,Global Price Index of All Commodities,monthly,index 2016=100,2008-01-01,154.383559162106
193,Global Price Index of All Commodities,monthly,index 2016=100,2007-12-01,147.755432401636
194,Global Price Index of All Commodities,monthly,index 2016=100,2007-11-01,147.612174794676
195,Global Price Index of All Commodities,monthly,index 2016=100,2007-10-01,139.447027404245
196,Global Price Index of All Commodities,monthly,index 2016=100,2007-09-01,131.754371003311
197,Global Price Index of All Commodities,monthly,index 2016=100,2007-08-01,125.569045154311
198,Global Price Index of All Commodities,monthly,index 2016=100,2007-07-01,129.619040838954
199,Global Price Index of All Commodities,monthly,index 2016=100,2007-06-01,127.07767879833
200,Global Price Index of All Commodities,monthly,index 2016=100,2007-05-01,126.760826703287
201,Global Price Index of All Commodities,monthly,index 2016=100,2007-04-01,126.426951618491
202,Global Price Index of All Commodities,monthly,index 2016=100,2007-03-01,119.61720550207
203,Global Price Index of All Commodities,monthly,index 2016=100,2007-02-01,116.909043314201
204,Global Price Index of All Commodities,monthly,index 2016=100,2007-01-01,110.892795218448
205,Global Price Index of All Commodities,monthly,index 2016=100,2006-12-01,115.395055956808
206,Global Price Index of All Commodities,monthly,index 2016=100,2006-11-01,113.474580801754
207,Global Price Index of All Commodities,monthly,index 2016=100,2006-10-01,110.698495911314
208,Global Price Index of All Commodities,monthly,index 2016=100,2006-09-01,112.400918147041
209,Global Price Index of All Commodities,monthly,index 2016=100,2006-08-01,122.122935091643
210,Global Price Index of All Commodities,monthly,index 2016=100,2006-07-01,121.47218256652
211,Global Price Index of All Commodities,monthly,index 2016=100,2006-06-01,117.066399201037
212,Global Price Index of All Commodities,monthly,index 2016=100,2006-05-01,119.811486522325
213,Global Price Index of All Commodities,monthly,index 2016=100,2006-04-01,115.604648629511
214,Global Price Index of All Commodities,monthly,index 2016=100,2006-03-01,106.955531141202
215,Global Price Index of All Commodities,monthly,index 2016=100,2006-02-01,106.099284947744
216,Global Price Index of All Commodities,monthly,index 2016=100,2006-01-01,107.805714352905
217,Global Price Index of All Commodities,monthly,index 2016=100,2005-12-01,106.121002250701
218,Global Price Index of All Commodities,monthly,index 2016=100,2005-11-01,101.047521554343
219,Global Price Index of All Commodities,monthly,index 2016=100,2005-10-01,107.012106797995
220,Global Price Index of All Commodities,monthly,index 2016=100,2005-09-01,107.597009494798
221,Global Price Index of All Commodities,monthly,index 2016=100,2005-08-01,103.62105354363
222,Global Price Index of All Commodities,monthly,index 2016=100,2005-07-01,97.7757469683376
223,Global Price Index of All Commodities,monthly,index 2016=100,2005-06-01,95.5070254009748
224,Global Price Index of All Commodities,monthly,index 2016=100,2005-05-01,91.7383810656271
225,Global Price Index of All Commodities,monthly,index 2016=100,2005-04-01,94.1885845775862
226,Global Price Index of All Commodities,monthly,index 2016=100,2005-03-01,94.599555802495
227,Global Price Index of All Commodities,monthly,index 2016=100,2005-02-01,87.4309144203889
228,Global Price Index of All Commodities,monthly,index 2016=100,2005-01-01,85.4687843799749
229,Global Price Index of All Commodities,monthly,index 2016=100,2004-12-01,82.6103037167049
230,Global Price Index of All Commodities,monthly,index 2016=100,2004-11-01,83.8591118778556
231,Global Price Index of All Commodities,monthly,index 2016=100,2004-10-01,86.4844297749064
232,Global Price Index of All Commodities,monthly,index 2016=100,2004-09-01,80.6799602588991
233,Global Price Index of All Commodities,monthly,index 2016=100,2004-08-01,80.8376020798345
234,Global Price Index of All Commodities,monthly,index 2016=100,2004-07-01,79.7700843227268
235,Global Price Index of All Commodities,monthly,index 2016=100,2004-06-01,78.3948255987984
236,Global Price Index of All Commodities,monthly,index 2016=100,2004-05-01,79.6792614069198
237,Global Price Index of All Commodities,monthly,index 2016=100,2004-04-01,76.5434715985936
238,Global Price Index of All Commodities,monthly,index 2016=100,2004-03-01,75.4267213343332
239,Global Price Index of All Commodities,monthly,index 2016=100,2004-02-01,72.9606913930652
240,Global Price Index of All Commodities,monthly,index 2016=100,2004-01-01,73.1691802528608
241,Global Price Index of All Commodities,monthly,index 2016=100,2003-12-01,70.5234791175792
242,Global Price Index of All Commodities,monthly,index 2016=100,2003-11-01,67.4059805137133
243,Global Price Index of All Commodities,monthly,index 2016=100,2003-10-01,67.4783288374775
244,Global Price Index of All Commodities,monthly,index 2016=100,2003-09-01,64.5014534129361
245,Global Price Index of All Commodities,monthly,index 2016=100,2003-08-01,64.4238736964299
246,Global Price Index of All Commodities,monthly,index 2016=100,2003-07-01,63.3039713180149
247,Global Price Index of All Commodities,monthly,index 2016=100,2003-06-01,64.3843517879062
248,Global Price Index of All Commodities,monthly,index 2016=100,2003-05-01,63.0659772161954
249,Global Price Index of All Commodities,monthly,index 2016=100,2003-04-01,61.8871994794742
250,Global Price Index of All Commodities,monthly,index 2016=100,2003-03-01,65.782767587809
251,Global Price Index of All Commodities,monthly,index 2016=100,2003-02-01,70.2295140727457
252,Global Price Index of All Commodities,monthly,index 2016=100,2003-01-01,65.1533780787117
253,Global Price Index of All Commodities,monthly,index 2016=100,2002-12-01,.
254,Global Price Index of All Commodities,monthly,index 2016=100,2002-11-01,.
255,Global Price Index of All Commodities,monthly,index 2016=100,2002-10-01,.
256,Global Price Index of All Commodities,monthly,index 2016=100,2002-09-01,.
257,Global Price Index of All Commodities,monthly,index 2016=100,2002-08-01,.
258,Global Price Index of All Commodities,monthly,index 2016=100,2002-07-01,.
259,Global Price Index of All Commodities,monthly,index 2016=100,2002-06-01,.
260,Global Price Index of All Commodities,monthly,index 2016=100,2002-05-01,.
261,Global Price Index of All Commodities,monthly,index 2016=100,2002-04-01,.
262,Global Price Index of All Commodities,monthly,index 2016=100,2002-03-01,.
263,Global Price Index of All Commodities,monthly,index 2016=100,2002-02-01,.
264,Global Price Index of All Commodities,monthly,index 2016=100,2002-01-01,.
265,Global Price Index of All Commodities,monthly,index 2016=100,2001-12-01,.
266,Global Price Index of All Commodities,monthly,index 2016=100,2001-11-01,.
267,Global Price Index of All Commodities,monthly,index 2016=100,2001-10-01,.
268,Global Price Index of All Commodities,monthly,index 2016=100,2001-09-01,.
269,Global Price Index of All Commodities,monthly,index 2016=100,2001-08-01,.
270,Global Price Index of All Commodities,monthly,index 2016=100,2001-07-01,.
271,Global Price Index of All Commodities,monthly,index 2016=100,2001-06-01,.
272,Global Price Index of All Commodities,monthly,index 2016=100,2001-05-01,.
273,Global Price Index of All Commodities,monthly,index 2016=100,2001-04-01,.
274,Global Price Index of All Commodities,monthly,index 2016=100,2001-03-01,.
275,Global Price Index of All Commodities,monthly,index 2016=100,2001-02-01,.
276,Global Price Index of All Commodities,monthly,index 2016=100,2001-01-01,.
277,Global Price Index of All Commodities,monthly,index 2016=100,2000-12-01,.
278,Global Price Index of All Commodities,monthly,index 2016=100,2000-11-01,.
279,Global Price Index of All Commodities,monthly,index 2016=100,2000-10-01,.
280,Global Price Index of All Commodities,monthly,index 2016=100,2000-09-01,.
281,Global Price Index of All Commodities,monthly,index 2016=100,2000-08-01,.
282,Global Price Index of All Commodities,monthly,index 2016=100,2000-07-01,.
283,Global Price Index of All Commodities,monthly,index 2016=100,2000-06-01,.
284,Global Price Index of All Commodities,monthly,index 2016=100,2000-05-01,.
285,Global Price Index of All Commodities,monthly,index 2016=100,2000-04-01,.
286,Global Price Index of All Commodities,monthly,index 2016=100,2000-03-01,.
287,Global Price Index of All Commodities,monthly,index 2016=100,2000-02-01,.
288,Global Price Index of All Commodities,monthly,index 2016=100,2000-01-01,.
289,Global Price Index of All Commodities,monthly,index 2016=100,1999-12-01,.
290,Global Price Index of All Commodities,monthly,index 2016=100,1999-11-01,.
291,Global Price Index of All Commodities,monthly,index 2016=100,1999-10-01,.
292,Global Price Index of All Commodities,monthly,index 2016=100,1999-09-01,.
293,Global Price Index of All Commodities,monthly,index 2016=100,1999-08-01,.
294,Global Price Index of All Commodities,monthly,index 2016=100,1999-07-01,.
295,Global Price Index of All Commodities,monthly,index 2016=100,1999-06-01,.
296,Global Price Index of All Commodities,monthly,index 2016=100,1999-05-01,.
297,Global Price Index of All Commodities,monthly,index 2016=100,1999-04-01,.
298,Global Price Index of All Commodities,monthly,index 2016=100,1999-03-01,.
299,Global Price Index of All Commodities,monthly,index 2016=100,1999-02-01,.
300,Global Price Index of All Commodities,monthly,index 2016=100,1999-01-01,.
301,Global Price Index of All Commodities,monthly,index 2016=100,1998-12-01,.
302,Global Price Index of All Commodities,monthly,index 2016=100,1998-11-01,.
303,Global Price Index of All Commodities,monthly,index 2016=100,1998-10-01,.
304,Global Price Index of All Commodities,monthly,index 2016=100,1998-09-01,.
305,Global Price Index of All Commodities,monthly,index 2016=100,1998-08-01,.
306,Global Price Index of All Commodities,monthly,index 2016=100,1998-07-01,.
307,Global Price Index of All Commodities,monthly,index 2016=100,1998-06-01,.
308,Global Price Index of All Commodities,monthly,index 2016=100,1998-05-01,.
309,Global Price Index of All Commodities,monthly,index 2016=100,1998-04-01,.
310,Global Price Index of All Commodities,monthly,index 2016=100,1998-03-01,.
311,Global Price Index of All Commodities,monthly,index 2016=100,1998-02-01,.
312,Global Price Index of All Commodities,monthly,index 2016=100,1998-01-01,.
313,Global Price Index of All Commodities,monthly,index 2016=100,1997-12-01,.
314,Global Price Index of All Commodities,monthly,index 2016=100,1997-11-01,.
315,Global Price Index of All Commodities,monthly,index 2016=100,1997-10-01,.
316,Global Price Index of All Commodities,monthly,index 2016=100,1997-09-01,.
317,Global Price Index of All Commodities,monthly,index 2016=100,1997-08-01,.
318,Global Price Index of All Commodities,monthly,index 2016=100,1997-07-01,.
319,Global Price Index of All Commodities,monthly,index 2016=100,1997-06-01,.
320,Global Price Index of All Commodities,monthly,index 2016=100,1997-05-01,.
321,Global Price Index of All Commodities,monthly,index 2016=100,1997-04-01,.
322,Global Price Index of All Commodities,monthly,index 2016=100,1997-03-01,.
323,Global Price Index of All Commodities,monthly,index 2016=100,1997-02-01,.
324,Global Price Index of All Commodities,monthly,index 2016=100,1997-01-01,.
325,Global Price Index of All Commodities,monthly,index 2016=100,1996-12-01,.
326,Global Price Index of All Commodities,monthly,index 2016=100,1996-11-01,.
327,Global Price Index of All Commodities,monthly,index 2016=100,1996-10-01,.
328,Global Price Index of All Commodities,monthly,index 2016=100,1996-09-01,.
329,Global Price Index of All Commodities,monthly,index 2016=100,1996-08-01,.
330,Global Price Index of All Commodities,monthly,index 2016=100,1996-07-01,.
331,Global Price Index of All Commodities,monthly,index 2016=100,1996-06-01,.
332,Global Price Index of All Commodities,monthly,index 2016=100,1996-05-01,.
333,Global Price Index of All Commodities,monthly,index 2016=100,1996-04-01,.
334,Global Price Index of All Commodities,monthly,index 2016=100,1996-03-01,.
335,Global Price Index of All Commodities,monthly,index 2016=100,1996-02-01,.
336,Global Price Index of All Commodities,monthly,index 2016=100,1996-01-01,.
337,Global Price Index of All Commodities,monthly,index 2016=100,1995-12-01,.
338,Global Price Index of All Commodities,monthly,index 2016=100,1995-11-01,.
339,Global Price Index of All Commodities,monthly,index 2016=100,1995-10-01,.
340,Global Price Index of All Commodities,monthly,index 2016=100,1995-09-01,.
341,Global Price Index of All Commodities,monthly,index 2016=100,1995-08-01,.
342,Global Price Index of All Commodities,monthly,index 2016=100,1995-07-01,.
343,Global Price Index of All Commodities,monthly,index 2016=100,1995-06-01,.
344,Global Price Index of All Commodities,monthly,index 2016=100,1995-05-01,.
345,Global Price Index of All Commodities,monthly,index 2016=100,1995-04-01,.
346,Global Price Index of All Commodities,monthly,index 2016=100,1995-03-01,.
